;;;;;;;;Carrosserie;;;;;;;;;;;;;;;;;;;Moteur;;;;;;;;;;;;;;Transmission et contrôle;;;;Performances;;;;;;;;;Suspension et freins;;;
198823;Citroen;2 CV;3 génération;1966;1975;Cabriolet;0.6 MT (23 ch);Cabriolet;4;3875;1485;1600;2400;1260;1260;;;;;610;;320;320;;;;Essence;602;23;à 4 500;42;carburateur;Boxeur;2;;74;70;2;à 3 000;;Mécanique;Avant;;4;SP-92;104;;5,3;;;;25;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
198824;Citroen;2 CV;3 génération;1966;1975;Cabriolet;0.6 MT (33 ch);Cabriolet;4;3830;1480;1600;2400;1260;1260;;;;;560;150;250;250;;895;;Essence;602;33;à 7 000;42;carburateur;Boxeur;2;;74;70;2;à 3 500;;Mécanique;Avant;11,2;4;SP-92;110;;6,1;;;;25;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
198819;Citroen;2 CV;4 génération;1975;1979;Cabriolet;0.4 MT (24 ch);Cabriolet;4;3830;1480;1600;2400;1260;1260;;;;;560;150;250;250;;895;;Essence;435;24;à 6 750;30,4;carburateur;Boxeur;2;;68,5;59;2;à 4 000;;Mécanique;Avant;11,2;4;SP-92;102;;5,4;;;;20;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
198820;Citroen;2 CV;4 génération;1975;1979;Cabriolet;0.6 MT (29 ch);Cabriolet;4;3830;1480;1600;2400;1260;1260;;;;;560;150;250;250;;895;;Essence;602;29;à 5 500;39;carburateur;Boxeur;2;;74;70;2;à 3 500;;Mécanique;Avant;11,2;4;SP-92;110;;6,1;;;;25;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
190289;Citroen;2 CV;5 génération;1979;1991;Cabriolet;0.6 MT (25 ch);Cabriolet;4;3830;1480;1600;2400;1260;1260;;;;;560;150;250;250;;895;;Essence;602;25;à 5 500;39;carburateur;Boxeur;2;;74;70;2;à 3 500;;Mécanique;Avant;11,2;4;SP-92;110;;6,1;;;;25;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
190290;Citroen;2 CV;5 génération;1979;1991;Cabriolet;0.6 MT (27 ch);Cabriolet;4;3830;1480;1600;2400;1260;1260;;;;;585;150;220;220;;930;;Essence;602;27;à 5 750;39;carburateur;Boxeur;2;;74;70;2;à 3 500;;Mécanique;Avant;11,2;4;SP-92;110;;5,4;;;;25;;Disque;Tambour;Indépendante;Sur longitudinal du levier
42663;Citroen;2 CV;5 génération;1979;1991;Cabriolet;0.6 MT (29 ch);Cabriolet;4;3830;1480;1600;2400;1260;1260;;;;;585;150;220;220;;930;;Essence;602;29;à 5 750;39;carburateur;Boxeur;2;;74;70;2;à 3 500;;Mécanique;Avant;11,2;4;SP-92;115;;5,4;;;;25;;Disque;Tambour;Indépendante;Sur longitudinal du levier
198825;Citroen;2 CV;Sahara [restyling];1958;1971;Cabriolet;0.9 MT (28 ch);Cabriolet;4;3780;1480;1700;2405;1260;1260;;;;;670;160;;;;;;Essence;850;28;à 4 200;47;carburateur;Boxeur;2;;66;62;2;à 2 500;;Mécanique;Plein;;4;SP-92;97;;;;;;30;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
198826;Citroen;2 CV;Sahara [restyling];1958;1971;Cabriolet;0.9 MT (34 ch);Cabriolet;4;3780;1480;1700;2405;1260;1260;;;;;730;160;;;310;1040;;Essence;850;34;à 5 000;47;carburateur;Boxeur;2;;66;62;2;à 2 500;;Mécanique;Plein;;4;SP-92;83;;;;;;30;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
198834;Citroen;AX;1 génération;1986;1998;Hatchback;1.0 MT (45 ch);Hayon;5;3525;1550;1355;2280;1380;1300;;;;;690;110;668;273;;1140;;Essence;954;45;de 6 000;74;Distribué injection;Mitoyenne;4;;70;62;2;à 3 700;;Mécanique;Avant;9;4;SP-95;146;;5;14;;;43;;Disque;Tambour;Suspension ouverte;Poutre de torsion
198835;Citroen;AX;1 génération;1986;1998;Hatchback;1.0 MT (50 ch);Hayon;5;3525;1555;1355;2280;1380;1300;;;;;705;110;1140;690;;1160;;Essence;954;50;de 6 000;73;Monoinjection;Mitoyenne;4;;70;62;2;à 3 600;;Mécanique;Avant;9;5;SP-95;151;6,7;6,4;17;de 640 à 930;;43;4,6;Disque;Tambour;Suspension ouverte;Poutre de torsion
198836;Citroen;AX;1 génération;1986;1998;Hatchback;1.1 MT (60 ch);Hayon;5;3525;1555;1355;2280;1370;1290;;;;;691;110;668;273;;1160;;Essence;1124;60;de 6 200;88;Monoinjection;Mitoyenne;4;;72;69;2;à 3 800;;Mécanique;Avant;9;5;SP-95;167;7;6;12;de 610 à 1 080;;43;4;Disque;Tambour;Suspension ouverte;Poutre de torsion
198837;Citroen;AX;1 génération;1986;1998;Hatchback;1.3 Sport MT (95 ch);Hayon;5;3525;1595;1290;2280;1400;1320;;;;;735;110;668;273;;1065;;Essence;1294;95;de 6 800;113;carburateur;Mitoyenne;4;;75;73;2;à 5 000;;Mécanique;Avant;10,6;5;SP-95;186;9,7;7,7;9,4;de 440 à 750;;43;5,7;Disque;Tambour;Suspension ouverte;Poutre de torsion
198839;Citroen;AX;1 génération;1986;1998;Hatchback;1.4 4x4 MT (75 ch);Hayon;5;3517;1596;1345;2305;1375;1305;;;;;820;140;1105;605;;1275;;Essence;1361;75;de 6 200;116;Monoinjection;Mitoyenne;4;;75;77;2;à 4 000;;Mécanique;Plein;9;5;SP-95;165;7,7;7,5;12;de 560 à 700;;43;6,1;Disque;Tambour;Suspension ouverte;Poutre de torsion
198841;Citroen;AX;1 génération;1986;1998;Hatchback;1.4 D MT (50 ch);Hayon;5;3525;1555;1355;2280;1370;1290;;;;;720;110;668;273;430;1150;;Diesel;1360;50;à 5 000;82;Injection directe;Mitoyenne;4;;75;77;2;à 2 500;Il ya;Mécanique;Avant;9;5;DT;152;;4;16;;;43;;Disque;Tambour;Suspension ouverte;Poutre de torsion
198840;Citroen;AX;1 génération;1986;1998;Hatchback;1.4 D MT (52 ch);Hayon;5;3525;1555;1355;2280;1370;1290;;;;;735;110;668;273;430;1165;;Diesel;1361;52;à 5 000;84;Injection directe;Mitoyenne;4;;75;77;2;à 2 500;Il ya;Mécanique;Avant;9;5;DT;155;4,8;4,5;14,3;de 900 à 1 300;;43;3,3;Disque;Tambour;Suspension ouverte;Poutre de torsion
198842;Citroen;AX;1 génération;1986;1998;Hatchback;1.4 GTi MT (95 ch);Hayon;5;3515;1595;1340;3515;1390;1330;;;;;795;110;668;273;;1235;;Essence;1361;95;de 6 600;120;Distribué injection;Mitoyenne;4;;75;77;2;à 4 200;;Mécanique;Avant;10,6;5;SP-95;186;8,9;7,1;9,9;de 480 à 750;;43;5,7;Disque;Tambour;Suspension ouverte;Poutre de torsion
198838;Citroen;AX;1 génération;1986;1998;Hatchback;1.4 MT (67 ch);Hayon;5;3525;1555;1355;2280;1370;1290;;;;;695;110;668;273;;1150;;Essence;1361;67;de 5 600;111;carburateur;Mitoyenne;4;;75;77;2;à 3 400;;Mécanique;Avant;;5;SP-95;170;6,9;6;12;de 620 à 1 020;;43;4,2;Disque;Tambour;Suspension ouverte;Poutre de torsion
198843;Citroen;AX;1 génération;1986;1998;Hatchback;1.4 MT (75 ch);Hayon;5;3517;1596;1345;2280;1392;1312;;;;;700;110;668;273;;1225;;Essence;1361;75;de 6 200;111;Monoinjection;Mitoyenne;4;;75;77;2;à 4 000;;Mécanique;Avant;9;5;SP-95;176;7;6;10;de 610 à 1 080;;43;4;Disque;Tambour;Suspension ouverte;Poutre de torsion
198844;Citroen;AX;1 génération;1986;1998;Hatchback;1.4 MT (85 ch);Hayon;5;3517;1596;1345;2280;1392;1312;;;;;730;110;668;273;;1160;;Essence;1361;85;de 6 400;116;carburateur;Mitoyenne;4;;75;77;2;à 4 000;;Mécanique;Avant;;5;SP-95;180;7;6;9;de 610 à 1 080;;43;4;Disque;Tambour;Suspension ouverte;Poutre de torsion
198845;Citroen;AX;1 génération;1986;1998;Hatchback;1.5 D MT (54 ch);Hayon;5;3525;1555;1355;2280;1370;1290;;;;;790;110;668;273;;1215;;Diesel;1527;54;de 5 000;95;Injection directe;Mitoyenne;4;;77;82;2;à 2 250;;Mécanique;Avant;9;5;DT;158;;4;13;;;43;;Disque;Tambour;Suspension ouverte;Poutre de torsion
219630;Citroen;Berlingo;1 génération;1996;2002;Minivan;1.1 MT (60 ch);Monospace;5;4108;1719;1800;2690;1425;1440;;;;;995;140;2800;664;;1670;;Essence;1124;60;à 6 200;83;Distribué injection;Mitoyenne;4;;;;2;à 3 800;;Mécanique;Avant;;5;SP-92;140;8,9;;21,6;de 620 à 850;;55;6,5;Disques ventilés;Disque;Multibras, ressort, La barre stabilisatrice;Poutre de torsion, ressort
219631;Citroen;Berlingo;1 génération;1996;2002;Minivan;1.4 MT (75 ch);Monospace;5;4108;1719;1800;2690;1425;1440;;;;;1125;140;2800;625;;1780;;Essence;1361;75;à 5 500;120;Distribué injection;Mitoyenne;4;;;;2;à 3 400;;Mécanique;Avant;;5;SP-95;150;8,9;7,1;14;de 620 à 920;;55;6;Disques ventilés;Disque;Multibras, ressort, La barre stabilisatrice;Poutre de torsion, ressort
219632;Citroen;Berlingo;1 génération;1996;2002;Minivan;1.6 MT (109 ch);Monospace;5;4108;1719;1800;2690;1425;1440;;;;;1170;140;2800;625;;1780;;Essence;1587;109;à 5 750;147;Distribué injection;Mitoyenne;4;;;;4;à 4 000;;Mécanique;Avant;;5;SP-92;172;9,5;;12,7;de 580 à 890;;55;6,2;Disques ventilés;Disque;Multibras, ressort, La barre stabilisatrice;Poutre de torsion, ressort
219634;Citroen;Berlingo;1 génération;1996;2002;Minivan;1.8 D MT (58 ch);Monospace;5;4108;1719;1801;2690;1422;1440;;;;;1075;140;2800;664;;1955;;Diesel;1796;58;à 4 600;110;Distribué injection;Mitoyenne;4;;;;2;à 2 000;;Mécanique;Avant;;5;DT;135;8,5;;27,4;de 710 à 1 030;;60;5,8;Disques ventilés;Disque;Multibras, ressort, La barre stabilisatrice;Poutre de torsion, ressort
219633;Citroen;Berlingo;1 génération;1996;2002;Minivan;1.8 MT (90 ch);Monospace;5;4108;1719;1801;2690;1422;1440;;;;;1170;140;2800;664;;1780;;Essence;1762;90;à 5 000;147;Distribué injection;Mitoyenne;4;;;;4;à 4 000;;Mécanique;Avant;;5;SP-92;160;11,9;;14,4;de 500 à 850;;60;7,1;Disques ventilés;Disque;Multibras, ressort, La barre stabilisatrice;Poutre de torsion, ressort
219635;Citroen;Berlingo;1 génération;1996;2002;Minivan;1.9 D MT (69 ch);Monospace;5;4108;1719;1801;2690;1422;1440;;;;;1185;140;2800;664;;1840;;Diesel;1868;69;à 4 600;125;Distribué injection;Mitoyenne;4;;;;2;à 2 500;;Mécanique;Avant;;5;DT;142;8,6;;16,3;de 700 à 1 110;;60;5,4;Disques ventilés;Disque;Multibras, ressort, La barre stabilisatrice;Poutre de torsion, ressort
219636;Citroen;Berlingo;1 génération;1996;2002;Minivan;1.9 D MT AWD (71 ch);Monospace;5;4108;1719;1801;2690;1422;1440;;;;;1110;140;2800;664;;1840;;Diesel;1868;71;à 4 600;125;Distribué injection;Mitoyenne;4;;;;2;à 2 500;;Mécanique;Plein;;5;DT;142;8,6;;16,3;de 700 à 1 110;;60;5,4;Disques ventilés;Disque;Multibras, ressort, La barre stabilisatrice;Poutre de torsion, ressort
219637;Citroen;Berlingo;1 génération;1996;2002;Minivan;2.0 HDi MT (90 ch);Monospace;5;4108;1719;1801;2690;1422;1440;;;;;1280;140;2800;664;;1920;;Diesel;1997;90;à 4 000;205;Distribué injection;Mitoyenne;4;Turbo;;;2;à 1 900;Il ya;Mécanique;Avant;;5;DT;158;7,3;5,8;15,3;de 820 à 1 200;;60;5;Disques ventilés;Disque;Multibras, ressort, La barre stabilisatrice;Poutre de torsion, ressort
63223;Citroen;Berlingo;1 génération [restyling];2002;2012;First monospace;1.4 MT (75 ch);Monospace;5;4137;1724;1810;2693;1420;1440;;;;;1197;;2800;624;583;1780;;Essence;1360;75;à 5 500;120;Injecteur;Mitoyenne;4;;75;77;4;à 3 400;;Mécanique;Avant;11,3;5;SP-95;150;9,6;7,4;17;de 570 à 890;;55;6,2;Disques ventilés;Tambour;Indépendante, Rack Macpherson;Indépendante, Multibras
63225;Citroen;Berlingo;1 génération [restyling];2002;2012;First monospace;1.6 HDi MT (75 ch);Monospace;5;4137;1724;1810;2693;1420;1440;;;;;1197;140;2800;624;583;1780;;Diesel;1560;75;à 4 000;175;Common Rail;Mitoyenne;4;Turbo;;;4;à 1 750;Il ya;Mécanique;Avant;11,3;5;DT;150;6,7;5,4;20,4;de 820 à 1 170;;55;4,7;Disques ventilés;Tambour;Indépendante, Rack Macpherson;Indépendante, Multibras
63226;Citroen;Berlingo;1 génération [restyling];2002;2012;First monospace;1.6 HDi MT (90 ch);Monospace;5;4137;1724;1810;2693;1420;1440;;;;;1197;140;2800;624;583;1780;;Diesel;1560;90;à 4 000;215;Common Rail;Mitoyenne;4;Turbo;;;2;à 1 750;Il ya;Mécanique;Avant;11,3;5;DT;150;6,7;5,4;17,8;de 820 à 1 170;;55;4,7;Disques ventilés;Tambour;Indépendante, Rack Macpherson;Indépendante, Multibras
63224;Citroen;Berlingo;1 génération [restyling];2002;2012;First monospace;1.6 MT (110 ch);Monospace;5;4137;1724;1810;2693;1420;1440;;;;;1197;140;2800;624;583;1780;;Essence;1587;110;à 5 750;147;Injecteur;Mitoyenne;4;;;;4;à 4 000;;Mécanique;Avant;11,3;5;SP-95;170;9,5;7,4;13,1;de 580 à 890;;55;6,2;Disques ventilés;Tambour;Indépendante, Rack Macpherson;Indépendante, Multibras
63227;Citroen;Berlingo;1 génération [restyling];2002;2012;First monospace;1.9 D MT (69 ch);Monospace;5;4137;1724;1810;2693;1420;1440;;;;;1197;140;2800;624;583;1780;;Diesel;1868;69;à 4 600;175;Common Rail;Mitoyenne;4;;;;2;à 2 500;;Mécanique;Avant;11,3;5;DT;142;8,8;6,9;20,4;de 630 à 960;;55;5,7;Disques ventilés;Tambour;Indépendante, Rack Macpherson;Indépendante, Multibras
63228;Citroen;Berlingo;1 génération [restyling];2002;2012;First monospace;2.0 HDi MT (90 ch);Monospace;5;4137;1724;1810;2693;1420;1440;;;;;1197;140;2800;624;583;1780;;Diesel;1997;90;à 4 000;205;Common Rail;Mitoyenne;4;Turbo;;;2;à 1 900;Il ya;Mécanique;Avant;11,3;5;DT;160;7,3;5,8;15,6;de 750 à 1 100;;55;5;Disques ventilés;Tambour;Indépendante, Rack Macpherson;Indépendante, Multibras
176990;Citroen;Berlingo;2 génération;2008;2012;Minivan;1.6 HDi MT (110 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1397;;3000;675;628;;2925;Diesel;1560;110;à 4 000;240;Common Rail;Mitoyenne;4;Turbo;;;4;à 1 750;Il ya;Mécanique;Avant;11;5;DT;173;6,8;5,6;12,5;de 880 à 1 220;EURO IV;60;4,9;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
16144;Citroen;Berlingo;2 génération;2008;2012;Minivan;1.6 HDi MT (75 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1397;;3000;675;628;;2925;Diesel;1560;75;à 3 500;185;Common Rail;Mitoyenne;4;Turbo;;;4;à 1 750;Il ya;Mécanique;Avant;11;5;DT;150;7;5,7;17,1;de 860 à 1 200;EURO IV;60;5;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
16145;Citroen;Berlingo;2 génération;2008;2012;Minivan;1.6 HDi MT (92 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1397;;3000;675;628;;2925;Diesel;1560;92;à 4 000;215;Common Rail;Mitoyenne;4;Turbo;;;4;à 1 750;Il ya;Mécanique;Avant;11;5;DT;160;7;5,7;14,3;de 860 à 1 200;EURO IV;60;5;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
16140;Citroen;Berlingo;2 génération;2008;2012;Minivan;1.6 MT (110 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1397;;3000;675;628;;2925;Essence;1587;110;à 4 800;147;Injecteur;Mitoyenne;4;;;;4;à 4 000;;Mécanique;Avant;11;5;SP-95;170;10,8;8,2;13,5;de 560 à 880;EURO IV;60;6,8;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
16141;Citroen;Berlingo;2 génération;2008;2012;Minivan;1.6 MT (120 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1405;;3000;675;595;;3000;Essence;1598;120;à 6 000;160;Distribué injection;Mitoyenne;4;;;;4;à 4 250;;Mécanique;Avant;11;5;SP-95;177;9,6;7,3;12;de 620 à 1 000;EURO IV;60;6;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
16142;Citroen;Berlingo;2 génération;2008;2012;Minivan;1.6 MT (90 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1397;;3000;675;628;;2925;Essence;1587;90;à 6 000;132;Injecteur;Mitoyenne;4;;;;4;à 4 500;;Mécanique;Avant;11;5;SP-95;160;10,8;8,2;15;de 560 à 880;EURO IV;60;6,8;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
16143;Citroen;Berlingo;2 génération;2008;2012;Minivan;1.6 MT (98 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1397;;3000;675;628;;2925;Essence;1598;98;à 6 000;152;Injecteur;Mitoyenne;4;;;;4;à 3 500;;Mécanique;Avant;11;5;SP-95;162;9,6;7,1;15,5;de 620 à 1 050;EURO IV;60;5,7;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
219582;Citroen;Berlingo;2 génération [2 restyling];2015;2018;Multispace monospace;1.6 e-HDi ETG (90 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1479;145;3000;675;640;;;Diesel;1560;90;à 3 600;215;Injection directe;Mitoyenne;4;Turbo;75;88,3;2;à 1 500;Il ya;Le robot;Avant;11;6;DT;165;5;4,6;15,5;de 1 200 à 1 360;EURO V;60;4,4;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, ressort, La barre stabilisatrice;Poutre de torsion, Amortisseurs, ressort, La barre stabilisatrice
219581;Citroen;Berlingo;2 génération [2 restyling];2015;2018;Multispace monospace;1.6 HDi MT (90 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1479;;3000;675;541;2020;2820;Diesel;1560;90;à 3 600;215;Common Rail;Mitoyenne;4;Turbo;;;2;à 1 500;Il ya;Mécanique;Avant;11;5;DT;161;6,7;5,7;13,6;de 900 à 1 150;EURO IV;60;5,2;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, ressort, La barre stabilisatrice;Poutre de torsion, ressort, La barre stabilisatrice
219580;Citroen;Berlingo;2 génération [2 restyling];2015;2018;Multispace monospace;1.6 MT (110 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1400;;3000;675;625;2025;3025;Essence;1587;110;à 5 800;147;Distribué injection;Mitoyenne;4;;;;4;à 4 000;;Mécanique;Avant;11;5;SP-95;177;11,2;8,4;12;de 540 à 900;EURO V;60;6,7;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, ressort, La barre stabilisatrice;Poutre de torsion, ressort, La barre stabilisatrice
184299;Citroen;Berlingo;2 génération [2 restyling];2015;2018;Multispace monospace;1.6 VTi MT (120 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1405;145;3000;675;595;2000;3000;Essence;1598;120;à 6 000;160;Distribué injection;Mitoyenne;4;;;;4;à 4 250;;Mécanique;Avant;11;5;SP-95;177;9,6;7,3;12;de 620 à 1 000;EURO IV;60;6;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, ressort, La barre stabilisatrice;Poutre de torsion, ressort, La barre stabilisatrice
198851;Citroen;Berlingo;2 génération [restyling];2012;2015;Multispace monospace 4-portes;1.6 e-HDi ETG (92 ch);Monospace;5;4380;1810;1801;2728;1505;1554;1160/960;;;;1430;;3000;675;640;2070;3070;Diesel;1560;92;à 4 000;230;Common Rail;Mitoyenne;4;Turbo;75;88,3;2;à 1 750;Il ya;Le robot;Avant;11;6;DT;165;4,8;4,4;15,5;de 1 250 à 1 400;EURO V;60;4,3;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, ressort, La barre stabilisatrice;Poutre de torsion, Amortisseurs, ressort, La barre stabilisatrice
198849;Citroen;Berlingo;2 génération [restyling];2012;2015;Multispace monospace 4-portes;1.6 HDi MT (90 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1479;;3000;675;541;2020;2820;Diesel;1560;90;à 3 600;215;Common Rail;Mitoyenne;4;Turbo;;;2;à 1 500;Il ya;Mécanique;Avant;11;5;DT;161;6,7;5,7;13,6;de 900 à 1 150;EURO IV;60;5,2;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, ressort, La barre stabilisatrice;Poutre de torsion, ressort, La barre stabilisatrice
198850;Citroen;Berlingo;2 génération [restyling];2012;2015;Multispace monospace 4-portes;1.6 MT (110 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1400;;3000;675;625;2025;3025;Essence;1587;110;à 5 800;147;Distribué injection;Mitoyenne;4;;;;4;à 4 000;;Mécanique;Avant;11;5;SP-95;177;11,2;8,4;12;de 540 à 900;EURO V;60;6,7;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, ressort, La barre stabilisatrice;Poutre de torsion, ressort, La barre stabilisatrice
198846;Citroen;Berlingo;2 génération [restyling];2012;2015;Multispace monospace 4-portes;1.6 MT (90 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1355;140;3000;675;850;2205;;Essence;1587;90;à 6 000;132;Distribué injection;Mitoyenne;4;;;;4;à 2 500;;Mécanique;Avant;11;5;SP-95;;;8,2;;;EURO V;60;;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, ressort, La barre stabilisatrice;Poutre de torsion, ressort, La barre stabilisatrice
234667;Citroen;Berlingo;2 génération [restyling];2012;2015;Multispace monospace 4-portes;1.6 MT (95 ch);Monospace;5;4380;1810;1801;2728;1505;1554;;;;;1355;140;3000;675;850;2205;;Essence;1587;95;à 6 000;152;Distribué injection;Mitoyenne;4;;;;4;à 3 500;;Mécanique;Avant;11;5;SP-95;162;9,6;7,1;15,5;de 620 à 1 050;EURO V;60;5,7;Disques ventilés;Disque;Indépendante, Rack Macpherson, Amortisseurs, ressort, La barre stabilisatrice;Poutre de torsion, ressort, La barre stabilisatrice
